EmptyCol,DateTime,Main_Owner,2nd_Owner,Load(KG),Bin_ID,Full(Y/N)
112,2024-09-27 14:41:50.328122,user1,user2,40.0,bin2,N
113,2024-09-27 14:41:50.409122,user1,user2,62.0,bin2,Y
114,2024-09-27 14:41:50.463120,user1,user2,51.0,bin2,N
115,2024-09-27 14:41:50.520120,user1,user2,82.0,bin2,Y
116,2024-09-27 14:41:50.577112,user1,user2,87.0,bin2,Y
117,2024-09-27 14:41:50.632120,user1,user2,91.0,bin2,Y
118,2024-09-27 14:41:50.684119,user1,user2,15.0,bin2,N
119,2024-09-27 14:41:50.742113,user1,user2,78.0,bin2,Y
120,2024-09-27 14:41:50.793119,user1,user2,18.0,bin2,N
121,2024-09-27 14:41:50.853120,user1,user2,15.0,bin2,N
122,2024-09-27 14:41:50.910122,user1,user2,64.0,bin2,Y
123,2024-09-27 14:41:50.970120,user1,user2,42.0,bin2,N
124,2024-09-27 14:41:54.031912,user1,user2,73.0,bin2,Y
125,2024-09-27 14:41:54.143916,user1,user2,2.0,bin2,N
126,2024-09-27 14:41:54.204908,user1,user2,53.0,bin2,N
127,2024-09-27 14:41:54.264915,user1,user2,66.0,bin2,Y
128,2024-09-27 14:41:54.320915,user1,user2,11.0,bin2,N
129,2024-09-27 14:41:54.383909,user1,user2,33.0,bin2,N
130,2024-09-27 14:41:54.443906,user1,user2,74.0,bin2,Y
131,2024-09-27 14:41:54.504915,user1,user2,81.0,bin2,Y
132,2024-09-27 14:41:54.561933,user1,user2,75.0,bin2,Y
133,2024-09-27 14:41:54.620908,user1,user2,44.0,bin2,N
134,2024-09-27 14:41:54.689915,user1,user2,78.0,bin2,Y
135,2024-09-27 14:41:54.756080,user1,user2,76.0,bin2,Y
136,2024-09-27 14:41:54.816080,user1,user2,74.0,bin2,Y
137,2024-09-27 14:41:54.881083,user1,user2,41.0,bin2,N
138,2024-09-27 14:41:54.944080,user1,user2,52.0,bin2,N
139,2024-09-27 14:41:55.006083,user1,user2,28.0,bin2,N
140,2024-09-27 14:41:55.061327,user1,user2,76.0,bin2,Y
141,2024-09-27 14:41:55.119427,user1,user2,68.0,bin2,Y
142,2024-09-27 14:41:55.184418,user1,user2,87.0,bin2,Y
143,2024-09-27 14:41:55.245427,user1,user2,97.0,bin2,Y
144,2024-09-27 14:41:55.313774,user1,user2,64.0,bin2,Y
145,2024-09-27 14:41:55.374464,user1,user2,47.0,bin2,N
146,2024-09-27 14:41:55.435618,user1,user2,16.0,bin2,N
147,2024-09-27 14:41:55.494426,user1,user2,18.0,bin2,N
148,2024-09-27 14:41:55.549432,user1,user2,61.0,bin2,Y
149,2024-09-27 14:41:55.617422,user1,user2,0.0,bin2,N
150,2024-09-27 14:41:55.675419,user1,user2,76.0,bin2,Y
151,2024-09-27 14:41:55.729486,user1,user2,8.0,bin2,N
152,2024-09-27 14:41:55.793483,user1,user2,75.0,bin2,Y
153,2024-09-27 14:41:55.853549,user1,user2,95.0,bin2,Y
154,2024-09-27 14:41:55.918552,user1,user2,73.0,bin2,Y
155,2024-09-27 14:41:55.990555,user1,user2,62.0,bin2,Y
156,2024-09-27 14:41:56.048550,user1,user2,86.0,bin2,Y
157,2024-09-27 14:41:56.115607,user1,user2,13.0,bin2,N
158,2024-09-27 14:41:56.185620,user1,user2,38.0,bin2,N
159,2024-09-27 14:41:56.281120,user1,user2,18.0,bin2,N
160,2024-09-27 14:41:56.339171,user1,user2,34.0,bin2,N
161,2024-09-27 14:41:56.399170,user1,user2,56.0,bin2,N
162,2024-09-27 14:41:56.460167,user1,user2,94.0,bin2,Y
163,2024-09-27 14:41:56.543160,user1,user2,66.0,bin2,Y
164,2024-09-27 14:41:56.606170,user1,user2,97.0,bin2,Y
165,2024-09-27 14:41:56.664169,user1,user2,14.0,bin2,N
166,2024-09-27 14:41:56.737174,user1,user2,53.0,bin2,N
167,2024-09-27 14:41:56.792173,user1,user2,47.0,bin2,N
168,2024-09-27 14:41:56.876171,user1,user2,54.0,bin2,N
169,2024-09-27 14:41:56.933184,user1,user2,43.0,bin2,N
170,2024-09-27 14:41:57.014158,user1,user2,48.0,bin2,N
171,2024-09-27 14:41:57.073291,user1,user2,2.0,bin2,N
172,2024-09-27 14:41:57.140726,user1,user2,8.0,bin2,N
173,2024-09-27 14:41:57.216782,user1,user2,41.0,bin2,N
174,2024-09-27 14:41:57.279797,user1,user2,44.0,bin2,N
175,2024-09-27 14:41:57.384785,user1,user2,2.0,bin2,N
176,2024-09-27 14:41:57.474057,user1,user2,75.0,bin2,Y
177,2024-09-27 14:41:57.555050,user1,user2,29.0,bin2,N
178,2024-09-27 14:41:57.621208,user1,user2,49.0,bin2,N
179,2024-09-27 14:41:57.680191,user1,user2,22.0,bin2,N
180,2024-09-27 14:41:57.743204,user1,user2,68.0,bin2,Y
181,2024-09-27 14:41:57.802195,user1,user2,75.0,bin2,Y
182,2024-09-27 14:41:57.860191,user1,user2,86.0,bin2,Y
183,2024-09-27 14:41:57.921368,user1,user2,93.0,bin2,Y
184,2024-09-27 14:41:57.982365,user1,user2,22.0,bin2,N
185,2024-09-27 14:41:58.052917,user1,user2,41.0,bin2,N
186,2024-09-27 14:41:58.133967,user1,user2,84.0,bin2,Y
187,2024-09-27 14:41:58.196281,user1,user2,33.0,bin2,N
188,2024-09-27 14:41:58.264841,user1,user2,40.0,bin2,N
189,2024-09-27 14:41:58.322852,user1,user2,58.0,bin2,N
190,2024-09-27 14:41:58.387982,user1,user2,10.0,bin2,N
191,2024-09-27 14:41:58.449989,user1,user2,53.0,bin2,N
192,2024-09-27 14:41:58.503989,user1,user2,81.0,bin2,Y
193,2024-09-27 14:41:58.577054,user1,user2,97.0,bin2,Y
194,2024-09-27 14:41:58.637055,user1,user2,34.0,bin2,N
195,2024-09-27 14:41:58.702479,user1,user2,82.0,bin2,Y
196,2024-09-27 14:41:58.768996,user1,user2,28.0,bin2,N
197,2024-09-27 14:41:58.847382,user1,user2,90.0,bin2,Y
198,2024-09-27 14:41:58.900382,user1,user2,48.0,bin2,N
199,2024-09-27 14:41:58.960602,user1,user2,34.0,bin2,N
200,2024-09-27 14:41:59.017691,user1,user2,72.0,bin2,Y
201,2024-09-27 14:41:59.073304,user1,user2,31.0,bin2,N
202,2024-09-27 14:41:59.134303,user1,user2,94.0,bin2,Y
203,2024-09-27 14:41:59.215364,user1,user2,89.0,bin2,Y
204,2024-09-27 14:41:59.289364,user1,user2,36.0,bin2,N
205,2024-09-27 14:41:59.359581,user1,user2,28.0,bin2,N
206,2024-09-27 14:41:59.411782,user1,user2,21.0,bin2,N
207,2024-09-27 14:41:59.478253,user1,user2,54.0,bin2,N
208,2024-09-27 14:41:59.556513,user1,user2,85.0,bin2,Y
209,2024-09-27 14:41:59.610512,user1,user2,7.0,bin2,N
210,2024-09-27 14:41:59.666040,user1,user2,98.0,bin2,Y
211,2024-09-27 14:41:59.728034,user1,user2,45.0,bin2,N
212,2024-09-27 14:41:59.782121,user1,user2,28.0,bin2,N
213,2024-09-27 14:41:59.842138,user1,user2,47.0,bin2,N
214,2024-09-27 14:41:59.903349,user1,user2,84.0,bin2,Y
215,2024-09-27 14:41:59.974350,user1,user2,69.0,bin2,Y
216,2024-09-27 14:42:00.031985,user1,user2,33.0,bin2,N
217,2024-09-27 14:42:00.098539,user1,user2,86.0,bin2,Y
218,2024-09-27 14:42:00.173363,user1,user2,69.0,bin2,Y
219,2024-09-27 14:42:00.234368,user1,user2,62.0,bin2,Y
220,2024-09-27 14:42:00.307606,user1,user2,40.0,bin2,N
221,2024-09-27 14:42:00.364855,user1,user2,3.0,bin2,N
222,2024-09-27 14:42:00.421884,user1,user2,2.0,bin2,N
223,2024-09-27 14:42:00.483093,user1,user2,39.0,bin2,N
224,2024-09-27 14:42:00.542373,user1,user2,28.0,bin2,N
225,2024-09-27 14:42:00.649467,user1,user2,53.0,bin2,N
226,2024-09-27 14:42:00.714494,user1,user2,92.0,bin2,Y
227,2024-09-27 14:42:00.778608,user1,user2,15.0,bin2,N
228,2024-09-27 14:42:00.845777,user1,user2,48.0,bin2,N
229,2024-09-27 14:42:00.921779,user1,user2,23.0,bin2,N
230,2024-09-27 14:42:00.995028,user1,user2,2.0,bin2,N
231,2024-09-27 14:42:01.090799,user1,user2,1.0,bin2,N
232,2024-09-27 14:42:01.156351,user1,user2,65.0,bin2,Y
233,2024-09-27 14:42:01.214344,user1,user2,77.0,bin2,Y
234,2024-09-27 14:42:01.289350,user1,user2,58.0,bin2,N
235,2024-09-27 14:42:01.352347,user1,user2,91.0,bin2,Y
236,2024-09-27 14:42:01.435769,user1,user2,44.0,bin2,N
237,2024-09-27 14:42:01.498771,user1,user2,30.0,bin2,N
238,2024-09-27 14:42:01.576781,user1,user2,10.0,bin2,N
239,2024-09-27 14:42:01.654767,user1,user2,40.0,bin2,N
240,2024-09-27 14:42:01.723919,user1,user2,93.0,bin2,Y
241,2024-09-27 14:42:01.797160,user1,user2,83.0,bin2,Y
242,2024-09-27 14:42:04.860647,user1,user2,60.0,bin2,N
243,2024-09-27 14:42:04.934650,user1,user2,66.0,bin2,Y
244,2024-09-27 14:42:04.989649,user1,user2,56.0,bin2,N
245,2024-09-27 14:42:05.052668,user1,user2,54.0,bin2,N
246,2024-09-27 14:42:05.120355,user1,user2,30.0,bin2,N
247,2024-09-27 14:42:05.179348,user1,user2,84.0,bin2,Y
248,2024-09-27 14:42:05.235350,user1,user2,72.0,bin2,Y
249,2024-09-27 14:42:05.311355,user1,user2,9.0,bin2,N
250,2024-09-27 14:42:05.375453,user1,user2,13.0,bin2,N
251,2024-09-27 14:42:05.523247,user1,user2,60.0,bin2,N
252,2024-09-27 14:42:05.583448,user1,user2,13.0,bin2,N
253,2024-09-27 14:42:05.642638,user1,user2,63.0,bin2,Y
254,2024-09-27 14:42:05.703648,user1,user2,70.0,bin2,Y
255,2024-09-27 14:42:05.757643,user1,user2,55.0,bin2,N
256,2024-09-27 14:42:05.823646,user1,user2,25.0,bin2,N
257,2024-09-27 14:42:05.879678,user1,user2,90.0,bin2,Y
258,2024-09-27 14:42:05.939313,user1,user2,82.0,bin2,Y
259,2024-09-27 14:42:06.005368,user1,user2,90.0,bin2,Y
260,2024-09-27 14:42:06.082369,user1,user2,51.0,bin2,N
261,2024-09-27 14:42:06.152368,user1,user2,69.0,bin2,Y
262,2024-09-27 14:42:06.239368,user1,user2,43.0,bin2,N
263,2024-09-27 14:42:06.316376,user1,user2,73.0,bin2,Y
264,2024-09-27 14:42:06.373369,user1,user2,10.0,bin2,N
265,2024-09-27 14:42:06.429608,user1,user2,90.0,bin2,Y
266,2024-09-27 14:42:06.486617,user1,user2,43.0,bin2,N
267,2024-09-27 14:42:06.543608,user1,user2,40.0,bin2,N
268,2024-09-27 14:42:06.612940,user1,user2,53.0,bin2,N
269,2024-09-27 14:42:06.676941,user1,user2,8.0,bin2,N
270,2024-09-27 14:42:06.734944,user1,user2,89.0,bin2,Y
271,2024-09-27 14:42:06.811163,user1,user2,40.0,bin2,N
272,2024-09-27 14:42:06.897373,user1,user2,89.0,bin2,Y
273,2024-09-27 14:42:06.956358,user1,user2,3.0,bin2,N
274,2024-09-27 14:42:07.049801,user1,user2,18.0,bin2,N
275,2024-09-27 14:42:07.157859,user1,user2,61.0,bin2,Y
276,2024-09-27 14:42:07.226869,user1,user2,82.0,bin2,Y
277,2024-09-27 14:42:07.288860,user1,user2,64.0,bin2,Y
278,2024-09-27 14:42:07.363863,user1,user2,10.0,bin2,N
279,2024-09-27 14:42:07.431853,user1,user2,2.0,bin2,N
280,2024-09-27 14:42:07.488750,user1,user2,26.0,bin2,N
281,2024-09-27 14:42:07.552959,user1,user2,16.0,bin2,N
282,2024-09-27 14:42:07.632053,user1,user2,57.0,bin2,N
283,2024-09-27 14:42:07.693182,user1,user2,65.0,bin2,Y
284,2024-09-27 14:42:07.791187,user1,user2,65.0,bin2,Y
285,2024-09-27 14:42:07.853993,user1,user2,54.0,bin2,N
286,2024-09-27 14:42:07.918453,user1,user2,45.0,bin2,N
287,2024-09-27 14:42:07.990465,user1,user2,45.0,bin2,N
288,2024-09-27 14:42:08.065221,user1,user2,35.0,bin2,N
289,2024-09-27 14:42:08.142304,user1,user2,86.0,bin2,Y
290,2024-09-27 14:42:08.211220,user1,user2,91.0,bin2,Y
291,2024-09-27 14:42:08.270296,user1,user2,26.0,bin2,N
292,2024-09-27 14:42:08.327284,user1,user2,55.0,bin2,N
293,2024-09-27 14:42:08.400108,user1,user2,55.0,bin2,N
294,2024-09-27 14:42:08.466298,user1,user2,78.0,bin2,Y
295,2024-09-27 14:42:08.531456,user1,user2,49.0,bin2,N
296,2024-09-27 14:42:08.602882,user1,user2,26.0,bin2,N
297,2024-09-27 14:42:08.679040,user1,user2,91.0,bin2,Y
298,2024-09-27 14:42:08.738146,user1,user2,96.0,bin2,Y
299,2024-09-27 14:42:08.806282,user1,user2,68.0,bin2,Y
300,2024-09-27 14:42:08.880485,user1,user2,76.0,bin2,Y
301,2024-09-27 14:42:08.936891,user1,user2,43.0,bin2,N
302,2024-09-27 14:42:08.991678,user1,user2,10.0,bin2,N
303,2024-09-27 14:42:09.051789,user1,user2,17.0,bin2,N
304,2024-09-27 14:42:09.106808,user1,user2,23.0,bin2,N
305,2024-09-27 14:42:09.194522,user1,user2,91.0,bin2,Y
306,2024-09-27 14:42:09.252520,user1,user2,45.0,bin2,N
307,2024-09-27 14:42:09.317517,user1,user2,31.0,bin2,N
308,2024-09-27 14:42:09.375512,user1,user2,82.0,bin2,Y
309,2024-09-27 14:42:09.430049,user1,user2,71.0,bin2,Y
310,2024-09-27 14:42:09.484044,user1,user2,64.0,bin2,Y
311,2024-09-27 14:42:09.545047,user1,user2,55.0,bin2,N
312,2024-09-27 14:42:09.599046,user1,user2,78.0,bin2,Y
313,2024-09-27 14:42:09.658045,user1,user2,39.0,bin2,N
314,2024-09-27 14:42:09.751049,user1,user2,27.0,bin2,N
315,2024-09-27 14:42:09.808104,user1,user2,85.0,bin2,Y
316,2024-09-27 14:42:09.862542,user1,user2,38.0,bin2,N
317,2024-09-27 14:42:09.951927,user1,user2,65.0,bin2,Y
318,2024-09-27 14:42:10.008924,user1,user2,96.0,bin2,Y
319,2024-09-27 14:42:10.078506,user1,user2,91.0,bin2,Y
320,2024-09-27 14:42:10.136826,user1,user2,4.0,bin2,N
321,2024-09-27 14:42:10.207239,user1,user2,69.0,bin2,Y
322,2024-09-27 14:42:10.276551,user1,user2,64.0,bin2,Y
323,2024-09-27 14:42:10.332558,user1,user2,14.0,bin2,N
324,2024-09-27 14:42:10.400562,user1,user2,95.0,bin2,Y
325,2024-09-27 14:42:10.523030,user1,user2,53.0,bin2,N
326,2024-09-27 14:42:10.587029,user1,user2,79.0,bin2,Y
327,2024-09-27 14:42:10.647046,user1,user2,76.0,bin2,Y
328,2024-09-27 14:42:10.730236,user1,user2,94.0,bin2,Y
329,2024-09-27 14:42:10.794225,user1,user2,63.0,bin2,Y
330,2024-09-27 14:42:10.856213,user1,user2,65.0,bin2,Y
331,2024-09-27 14:42:10.926212,user1,user2,20.0,bin2,N
332,2024-09-27 14:42:11.009212,user1,user2,80.0,bin2,Y
333,2024-09-27 14:42:11.073213,user1,user2,81.0,bin2,Y
334,2024-09-27 14:42:11.131221,user1,user2,94.0,bin2,Y
335,2024-09-27 14:42:11.207236,user1,user2,76.0,bin2,Y
336,2024-09-27 14:42:11.269209,user1,user2,65.0,bin2,Y
337,2024-09-27 14:42:11.328320,user1,user2,56.0,bin2,N
338,2024-09-27 14:42:11.407315,user1,user2,11.0,bin2,N
339,2024-09-27 14:42:11.474610,user1,user2,68.0,bin2,Y
340,2024-09-27 14:42:11.548617,user1,user2,8.0,bin2,N
341,2024-09-27 14:42:11.603082,user1,user2,92.0,bin2,Y
342,2024-09-27 14:42:11.660287,user1,user2,47.0,bin2,N
343,2024-09-27 14:42:11.725542,user1,user2,33.0,bin2,N
344,2024-09-27 14:42:11.793722,user1,user2,9.0,bin2,N
345,2024-09-27 14:42:11.851728,user1,user2,15.0,bin2,N
346,2024-09-27 14:42:11.911719,user1,user2,67.0,bin2,Y
347,2024-09-27 14:42:11.968950,user1,user2,99.0,bin2,Y
348,2024-09-27 14:42:12.029081,user1,user2,55.0,bin2,N
349,2024-09-27 14:42:12.096237,user1,user2,18.0,bin2,N
350,2024-09-27 14:42:12.153207,user1,user2,91.0,bin2,Y
351,2024-09-27 14:42:12.226217,user1,user2,89.0,bin2,Y
352,2024-09-27 14:42:12.287208,user1,user2,23.0,bin2,N
353,2024-09-27 14:42:12.366347,user1,user2,14.0,bin2,N
354,2024-09-27 14:42:12.450511,user1,user2,55.0,bin2,N
355,2024-09-27 14:42:12.507515,user1,user2,47.0,bin2,N
356,2024-09-27 14:42:12.566514,user1,user2,40.0,bin2,N
357,2024-09-27 14:42:12.627402,user1,user2,9.0,bin2,N
358,2024-09-27 14:42:12.697474,user1,user2,89.0,bin2,Y
359,2024-09-27 14:42:12.765189,user1,user2,95.0,bin2,Y
360,2024-09-27 14:45:10.798422,user1,user2,21.0,bin2,N
361,2024-09-27 14:45:10.979689,user1,user2,18.0,bin2,N
362,2024-09-27 14:45:11.072686,user1,user2,40.0,bin2,N
363,2024-09-27 14:45:11.141715,user1,user2,45.0,bin2,N
364,2024-09-27 14:45:11.228679,user1,user2,79.0,bin2,Y
365,2024-09-27 14:45:11.308011,user1,user2,74.0,bin2,Y
366,2024-09-27 14:45:11.372021,user1,user2,74.0,bin2,Y
367,2024-09-27 14:45:11.440147,user1,user2,80.0,bin2,Y
368,2024-09-27 14:45:11.507815,user1,user2,77.0,bin2,Y
369,2024-09-27 14:45:11.570973,user1,user2,64.0,bin2,Y
370,2024-09-27 14:45:11.634970,user1,user2,25.0,bin2,N
371,2024-09-27 14:45:11.714204,user1,user2,41.0,bin2,N
372,2024-09-27 14:45:11.780201,user1,user2,3.0,bin2,N
373,2024-09-27 14:45:11.848202,user1,user2,8.0,bin2,N
374,2024-09-27 14:45:11.913201,user1,user2,10.0,bin2,N
375,2024-09-27 14:45:11.979831,user1,user2,51.0,bin2,N
376,2024-09-27 14:45:12.052909,user1,user2,99.0,bin2,Y
377,2024-09-27 14:45:12.120907,user1,user2,94.0,bin2,Y
378,2024-09-27 14:45:12.182924,user1,user2,60.0,bin2,N
379,2024-09-27 14:45:12.247967,user1,user2,2.0,bin2,N
380,2024-09-27 14:45:12.308966,user1,user2,89.0,bin2,Y
381,2024-09-27 14:45:12.382965,user1,user2,46.0,bin2,N
382,2024-09-27 14:45:12.446463,user1,user2,67.0,bin2,Y
383,2024-09-27 14:45:12.524174,user1,user2,77.0,bin2,Y
384,2024-09-27 14:45:12.593492,user1,user2,59.0,bin2,N
385,2024-09-27 14:45:12.665714,user1,user2,99.0,bin2,Y
386,2024-09-27 14:45:12.725918,user1,user2,98.0,bin2,Y
387,2024-09-27 14:45:12.788915,user1,user2,29.0,bin2,N
388,2024-09-27 14:45:12.863813,user1,user2,49.0,bin2,N
389,2024-09-27 14:45:12.922452,user1,user2,54.0,bin2,N
390,2024-09-27 14:45:12.990694,user1,user2,8.0,bin2,N
391,2024-09-27 14:45:13.074423,user1,user2,23.0,bin2,N
392,2024-09-27 14:45:13.144686,user1,user2,35.0,bin2,N
393,2024-09-27 14:45:13.222686,user1,user2,58.0,bin2,N
394,2024-09-27 14:45:13.284686,user1,user2,22.0,bin2,N
395,2024-09-27 14:45:13.366686,user1,user2,65.0,bin2,Y
396,2024-09-27 14:45:13.452686,user1,user2,28.0,bin2,N
397,2024-09-27 14:45:13.534686,user1,user2,93.0,bin2,Y
398,2024-09-27 14:45:13.597685,user1,user2,78.0,bin2,Y
399,2024-09-27 14:45:13.660155,user1,user2,20.0,bin2,N
400,2024-09-27 14:45:13.717330,user1,user2,66.0,bin2,Y
401,2024-09-27 14:45:13.778330,user1,user2,91.0,bin2,Y
402,2024-09-27 14:45:13.838367,user1,user2,66.0,bin2,Y
